Department;Region;District;Kostenstelle;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Düsseldorf;Langenfeld;40105;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Düsseldorf;Meerbusch;40115;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Düsseldorf;Mettmann (beinhaltet ÖZ2-GS Ratingen);40103;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Düsseldorf;Neuss;40117;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Wuppertal ;Remscheid;40106;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Wuppertal ;Solingen;40110;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Wuppertal ;Velbert;40107;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Wuppertal ;Wuppertal Barmen;40109;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Wuppertal ;Wuppertal Elberfeld;40108;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Arnsberg;50309;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Brilon;50310;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Iserlohn;50304;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Lüdenscheid;50307;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Menden;50306;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Bergisch Gladbach;40309;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Gummersbach;40305;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Leverkusen;40306;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Olpe;50311;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bergisch Gladbach / Arnsberg;Siegen;50313;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Aachen ;Aachen;40319;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Aachen ;Düren;40313;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Aachen ;Eschweiler;40314;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Aachen ;Euskirchen;40316;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Aachen ;Simmerath;40312;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Köln;Bergheim;40307;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Köln;Brühl;40304;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Köln;Frechen;40308;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Köln;Köln Mitte;40301;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Köln;Köln Nordwest;40303;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Köln;Köln rechtsrheinisch;40302;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Bad Honnef;40315;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Bonn;40310;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Bonn Bad Godesberg;40311;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Siegburg;40317;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Troisdorf;40318;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Haldensleben;10309;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Magdeburg;10301;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Stendal;10308;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Bernburg;10303;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Dessau-Roßlau;10314;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Halberstadt;10311;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Lutherstadt Wittenberg;10304;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Wernigerode;10312;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Halle;10315;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Lutherstadt Eisleben;10305;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Merseburg;10306;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Naumburg;10307;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Bad Salzungen;20102;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Eisenach;20111;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Erfurt;20101;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Gotha;20105;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Leinefelde;20104;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Nordhausen;20107;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Gera;20109;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Jena;20112;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Saalfeld;20110;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Suhl;20113;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Weimar;20108;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Döbeln;10507;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Leipzig Mitte;10551;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Leipzig Nord;10501;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Limbach-Oberfrohna;10503;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Riesa;10605;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Torgau;10509;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Aue;10510;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Chemnitz;10513;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Freiberg;10506;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Plauen;10511;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Zwickau;10512;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Bautzen;10607;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Dresden Altstadt;10601;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Dresden Neustadt;10602;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Görlitz;10609;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Meißen;10604;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Pirna;10603;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Zittau;10606;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Kassel / Gießen;Bad Hersfeld;30109;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Kassel / Gießen;Baunatal;30112;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Kassel / Gießen;Kassel;30111;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Kassel / Gießen;Korbach;30108;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Kassel / Gießen;Alsfeld;30102;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Kassel / Gießen;Fulda;30106;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Kassel / Gießen;Gießen;30101;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Kassel / Gießen;Marburg;30103;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Koblenz;Betzdorf;40505;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Koblenz;Koblenz;40514;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Koblenz;Mayen;40504;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Koblenz;Montabaur;40502;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Koblenz;Neuwied;40506;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Wiesbaden;Bad Homburg;30302;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Wiesbaden;Hofheim;30309;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Wiesbaden;Limburg;30110;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Wiesbaden;Wetzlar;30105;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Wiesbaden;Wiesbaden;30311;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Frankfurt (Main) ;Eschborn;30308;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Frankfurt (Main) ;Frankfurt (Main);30301;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Frankfurt (Main) ;Neu-Isenburg;30407;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Frankfurt (Main) ;Offenbach;30307;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Hanau;Dietzenbach;30408;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Hanau;Friedberg;30304;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Hanau;Gelnhausen;30305;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Hanau;Hanau;30310;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Trier / Mainz;Bitburg;40608;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Trier / Mainz;Simmern;40503;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Trier / Mainz;Trier;40611;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Trier / Mainz;Wittlich;40609;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Trier / Mainz;Alzey;40510;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Trier / Mainz;Bad Kreuznach;40513;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Trier / Mainz;Idar-Oberstein;40607;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Trier / Mainz;Mainz;40515;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Trier / Mainz;Worms;40512;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Darmstadt ;Bensheim;30406;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Darmstadt ;Darmstadt;30401;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Darmstadt ;Dieburg;30403;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Darmstadt ;Erbach;30404;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Darmstadt ;Groß-Gerau;30402;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Darmstadt ;Rüsselsheim (GS Groß-Gerau);30472;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Saarbrücken;Homburg;40606;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Saarbrücken;Illingen;40603;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Saarbrücken;Merzig;40602;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Saarbrücken;Saarbrücken;40610;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Saarbrücken;Saarlouis;40605;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Saarbrücken;St. Wendel;40604;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Ludwigshafen;Kaiserslautern;40601;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Ludwigshafen;Landau;40507;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Ludwigshafen;Ludwigshafen;40501;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Ludwigshafen;Neustadt (Weinstraße);40508;;
Abteilung Hessen, Rheinland-Pfalz, Saarland (HE/RP/SL);Ludwigshafen;Speyer;40509;;
Abteilung Bayern (BY);Würzburg;Aschaffenburg;20209;;
Abteilung Bayern (BY);Würzburg;Bad Neustadt;20208;;
Abteilung Bayern (BY);Würzburg;Karlstadt;20207;;
Abteilung Bayern (BY);Würzburg;Schweinfurt (beeinhaltet GS Schweinfurt Bergl);"20210; 20260";;
Abteilung Bayern (BY);Würzburg;Würzburg;20201;;
Abteilung Bayern (BY);Bamberg ;Bamberg;20204;;
Abteilung Bayern (BY);Bamberg ;Bayreuth;20211;;
Abteilung Bayern (BY);Bamberg ;Coburg;20205;;
Abteilung Bayern (BY);Bamberg ;Kitzingen;20206;;
Abteilung Bayern (BY);Bamberg ;Kronach;20203;;
Abteilung Bayern (BY);Bamberg ;Weiden;20505;;
Abteilung Bayern (BY);Erlangen;Ansbach;20404;;
Abteilung Bayern (BY);Erlangen;Erlangen;20405;;
Abteilung Bayern (BY);Erlangen;Fürth;20406;;
Abteilung Bayern (BY);Erlangen;Lauf;20409;;
Abteilung Bayern (BY);Nürnberg ;Amberg (beeinhaltet GS Schwandorf);20504;;
Abteilung Bayern (BY);Nürnberg ;Neumarkt;20408;;
Abteilung Bayern (BY);Nürnberg ;Nürnberg;20401;;
Abteilung Bayern (BY);Nürnberg ;Schwabach (beeinhaltet GS Weißenburg);20403;;
Abteilung Bayern (BY);Regensburg;Deggendorf (beeinhaltet GS Freyung);20506;;
Abteilung Bayern (BY);Regensburg;Landshut;20507;;
Abteilung Bayern (BY);Regensburg;Passau;20508;;
Abteilung Bayern (BY);Regensburg;Regensburg;20511;;
Abteilung Bayern (BY);Regensburg;Straubing;20501;;
Abteilung Bayern (BY);Regensburg;Cham (GS Straubing);20571;;
Abteilung Bayern (BY);Regensburg;Pfarrkirchen (GS Landshut);20577;;
Abteilung Bayern (BY);Augsburg ;Augsburg;20601;;
Abteilung Bayern (BY);Augsburg ;Ingolstadt;20607;;
Abteilung Bayern (BY);Augsburg ;Kaufbeuren;20605;;
Abteilung Bayern (BY);Augsburg ;Kempten (beeinhaltet GS Memmingen);20609;;
Abteilung Bayern (BY);Augsburg ;Nördlingen (GS Augsburg);20671;;
Abteilung Bayern (BY);München ;Fürstenfeldbruck;20706;;
Abteilung Bayern (BY);München ;München Mitte;20701;;
Abteilung Bayern (BY);München ;München Ost;;;
Abteilung Bayern (BY);München ;München Pasing;20704;;
Abteilung Bayern (BY);München ;München Schwabing;;;
Abteilung Bayern (BY);München ;Ottobrunn;20708;;
Abteilung Bayern (BY);Rosenheim;Bad Tölz;20608;;
Abteilung Bayern (BY);Rosenheim;Erding;20709;;
Abteilung Bayern (BY);Rosenheim;Freising;20707;;
Abteilung Bayern (BY);Rosenheim;Mühldorf;20712;;
Abteilung Bayern (BY);Rosenheim;Rosenheim;20713;;
Abteilung Bayern (BY);Rosenheim;Traunstein;20711;;
Abteilung Bayern (BY);Rosenheim;Ebersberg (GS Rosenheim);20783;;
Hauptgeschäftsgestelle (HGS);HGS Berlin Mitte;;10100;;
Hauptgeschäftsgestelle (HGS);HGS Potsdam;;10200;;
Hauptgeschäftsgestelle (HGS);HGS Magdeburg;;10300;;
Hauptgeschäftsgestelle (HGS);HGS Cottbus;;10400;;
Hauptgeschäftsgestelle (HGS);HGS Leipzig;;10500;;
Hauptgeschäftsgestelle (HGS);HGS Dresden;;10600;;
Hauptgeschäftsgestelle (HGS);HGS Erfurt;;20100;;
Hauptgeschäftsgestelle (HGS);HGS Würzburg;;20200;;
Hauptgeschäftsgestelle (HGS);HGS Nürnberg;;20400;;
Hauptgeschäftsgestelle (HGS);HGS Straubing;;20500;;
Hauptgeschäftsgestelle (HGS);HGS Augsburg;;20600;;
Hauptgeschäftsgestelle (HGS);HGS München;;20700;;
Hauptgeschäftsgestelle (HGS);HGS Gießen;;30100;;
Hauptgeschäftsgestelle (HGS);HGS Frankfurt am Main;;30300;;
Hauptgeschäftsgestelle (HGS);HGS Darmstadt;;30400;;
Hauptgeschäftsgestelle (HGS);HGS Heidelberg;;30500;;
Hauptgeschäftsgestelle (HGS);HGS Stuttgart;;30700;;
Hauptgeschäftsgestelle (HGS);HGS Reutlingen;;30800;;
Hauptgeschäftsgestelle (HGS);HGS Freiburg;;30900;;
Hauptgeschäftsgestelle (HGS);HGS Düsseldorf;;40100;;
Hauptgeschäftsgestelle (HGS);HGS Mönchengladbach;;40200;;
Hauptgeschäftsgestelle (HGS);HGS Köln;;40300;;
Hauptgeschäftsgestelle (HGS);HGS Bonn;;40400;;
Hauptgeschäftsgestelle (HGS);HGS Ludwigshafen;;40500;;
Hauptgeschäftsgestelle (HGS);HGS Kaiserslautern;;40600;;
Hauptgeschäftsgestelle (HGS);HGS Bielefeld;;50100;;
Hauptgeschäftsgestelle (HGS);HGS Münster;;50200;;
Hauptgeschäftsgestelle (HGS);HGS Dortmund;;50300;;
Hauptgeschäftsgestelle (HGS);HGS Essen;;50400;;
Hauptgeschäftsgestelle (HGS);HGS Kiel;;60100;;
Hauptgeschäftsgestelle (HGS);HGS Rostock;;60200;;
Hauptgeschäftsgestelle (HGS);HGS Hamburg;;60300;;
Hauptgeschäftsgestelle (HGS);HGS Bremen;;60400;;
Hauptgeschäftsgestelle (HGS);HGS Osnabrück;;60500;;
Hauptgeschäftsgestelle (HGS);HGS Göttingen ;;60600;;
Platzhalter;Platzhalter;Platzhalter;10502;;
Platzhalter;Platzhalter;Platzhalter;20702;;
Platzhalter;Platzhalter;Platzhalter;20703;;
Platzhalter;Platzhalter;Platzhalter;20705;;
